name,rating,date_post,title,review
Nicholas Fort,5,19 February 2021,Absolutely brilliant,"Arrived today and bluetooth to phone and laptop , and tried sd card , absolutely  brilliant , this is the best portable speaker I have  ever had and I have  had a few, the bass+ is just so good and is crystal clear trebles , well recommended"
KenD,5,19 February 2021,Good,Good
Seth Nainia,5,18 February 2021,A good speaker,It plays good quality music! i can fully jam with it!
R. Ford,5,18 February 2021,Cracking little speaker,Wanted a speaker for the bathroom. Wasn't expecting much for £25. For the money I don't think you could do any better. Set up with daughters Echo device quickly enough but have opted to just use it as a Bluetooth speaker through my phone for now. Be ideal for BBQs. Like a party in the bathtub. Have tested it with Disney music for my daughter and the Prodigy so far. Very impressed with the sound. Have got it wet but yet to submerge it in water. Unsure on battery life yet.UpdateDaughter has used it as a submarine to test it. So has been submerged a few times. Still works fine. Have to shake water off but sound resumes. Have used many times in bathroom and garden so far in a single charge. Good battery life!
Rory,5,18 February 2021,A great speaker.,"My dad loves this speak, the noise level is great and the sound quality is as good as our other speakers. Seems to last all night."
Ana ana,5,17 February 2021,Very good,Excellent
M. J. Bollons,5,17 February 2021,I can't think of any cons.,Very impresed with both the volume and sound quality. It has a surprisingly warm and rich tone. Would definately buy again.
Zadkin,5,17 February 2021,Great quality,Sounds great. Is brilliant
Russell M,3,17 February 2021,Cheap speaker but does have good connection,Poor base. Not great sound quality
Amazon Customer,5,16 February 2021,Good value for money,Great little sound
Rachel,5,14 February 2021,Bluetooth speaker,"I'm really impresses with this speaker for the money. Sound quality is really good, battery life is good too, light & easy to carry. Well worth the price!! 👍"
Kobi,5,14 February 2021,Great little speaker... packs a punch,"Great speaker, really nice sound, brilliant connectivity via Bluetooth and very solid......impressed"
Mr K.,5,14 February 2021,Value for money,"Great product, could maybe a little louder but for the price it’s well worth the money"
reasonableenthusiast,5,14 February 2021,👍,A really good product.
Mr. M. Corcoran,3,13 February 2021,Nice sound,It's fine other than very hard to see which control button does what
Amazon Customer,5,12 February 2021,Ok but nothing special,"It’s ok but nothing special,advertised as being very loud but it’s not"
John Darragh,5,12 February 2021,Very good product,"Sound quality good and battery life brilliant, quick and easy to charge"
rose,5,12 February 2021,Amazing sound quality,Great sound quality and the battery life is quite long. Easy to connect to also.
Ms Corinna Bray,5,11 February 2021,Fab,Very happy with this use it all the time
Kevin.,5,10 February 2021,Very impressed,"The media could not be loaded.                      Great sound quality, very bass-y even in normal mode. Very impressed.Comes with a male to male jack too if you don't want to use Bluetooth, and a micro USB charging cable in case you didn't already have loads.Surface is a matte black rubber, non-slip for the wet.The size is approximately 7 inches/18cm wide by 2 inches/5cm deep by 2.5inches/6cm tall. Fits nicely on my corner shower shelf.I've yet to test it out wet, but if it breaks I'll be returning it straight back as the only reason I've bought it is for the shower!Update, had it a few months now, works fine in the wet. Good battery too, rarely needs charging."
andy rudd,4,10 February 2021,Great small speaker,"just needed a bluetooth speaker for using outdoors. I'm amazed at the sound quality this pumps out considering I paid so low a price. Bass and treble are on point and at full pelt, it's great. Being wireless, it's totally portable; play music wherever you fancy. Battery life is great. it's super easy to recharge using the supplied USB cable. A well built and sturdy speaker which is underpriced in my opinion. One of my better buys."
kirstie,4,8 February 2021,Little but loud,"As expected, very loud for the price and nice sleek design."
Lifemaestro,1,6 February 2021,Appalling sound - it warbles and quavers!!!,"I owned this for just 10 minutes before boxing it back up and sending it straight back! Couldn't wait to get it out of the house!Both music and audio warbled and quavered. I thought, perhaps I was expecting too much for the money? Then my son walked in and begged me to turn it off! He said the sound was so ghastly he couldn't bear it.Scanning through the reviews, quite a few mention this, so I'm not convinced it was even faulty. I have purchased something completely different. Once bitten...."
Ken M,4,5 February 2021,Poor user manual,"Neat and compact unit but the tiny User Manual leaflet gives little information and the operating instructions need a magnifying glass to read. There is a button M on the controls but no mention of its function in the leaflet. Also no information on what indicates Fully charged’ as just a red light when plugged into USB. When switched on it automatically registered on my iPad but would not then connect with Alexa Echo, which said ‘no device found’. Took several days of trial and error until I went into the iPad Settings and removed it. As soon as I did this it connected to Alexa Echo so is now up and working."
Emilia,5,5 February 2021,Very pleased,Very good speaker
David McEvoy,4,4 February 2021,Decent,"Fair price, and sound as expected for its price range"
Amazon Customer,5,4 February 2021,Brilliant clear sound ..,Fabulous speaker so clear my husband loves it great value fir money
Paul,5,3 February 2021,Excellent quality,"The sound level and quality are excellent,brilliant product"
Barry Comben,5,3 February 2021,Does what it says on the tin,all round just what I wanted
Andrew Taylor,4,2 February 2021,Well worth buying,Surprisingly good for the price!
Graeme B,5,2 February 2021,Excellent buy for the money,"For a well built, IPX7 waterproof Bluetooth speaker for £22 nobody should complain! It took me 3 seconds to connect to my iPhone Bluetooth.Plenty loud enough for a small to medium sized room on 75% volume. The bass + option tends to dampen down the treble rather than to increase the bass, so I find I need to turn up the volume. Press + button briefly to increase the volume or leave it pressed down for the next track or - for vice versa.If you are looking for a louder speaker with far more pronounced bass expect to pay double on something like the Transmart Force which I also own.Battery life is excellent- I haven’t needed to recharge it yet after a fortnight mainly using it at around 75% of the volume for approx 12 hours.Aux cable is straightforward to connect and Bluetooth range is very good."
Ellen watts,3,27 January 2021,quiet,"sounds nice and clear but isn’t as loud as expected, i wouldn’t of purchases if i knew it was quiet like this. not impressed rlly. quite good for price but expected louder"
Samantha Farrell,5,27 January 2021,Amazing,"Amazing, can’t  believe how Loud it is for such a small device that’s so cheap! Would definitely recommend"
Stewart Cook,5,24 January 2021,Good value,👍
mrs m p lancaster,5,24 January 2021,Fab portable speaker,Excellent portable speaker and the sound is great
Daren Riley,5,23 January 2021,Good quality,"Good sound, good quality, good price"
Jamie Johnston,3,22 January 2021,Fair,It’s not that loud and the battery doesn’t last as long as it says
Asitha H,5,22 January 2021,Great product. Love it.,"I have to say, I was a bit sceptical before buying this as I wasn’t sure how the sound quality was going to be given it is a tiny speaker. I was nicely surprised when I started using it. Bass boost packs a punch & I love this. It is looks high quality & connects seamlessly to iPhones & Alexa (Echo plus & Dots).And still waiting for the first battery charge to die down. Looks like the battery life is also very good.Nothing bad to say about the product. Love it."
Amazon Customer,5,19 January 2021,Take anywhere,"Good sturdy waterproof speaker, ideal for bathroom"
Becky young,5,19 January 2021,"Excellent quality, great sound.. LOUD","This is excellent value for money. Great connectivity, long battery life and sounds incredible. It can go SO loud as well, far too loud to use to its maximum potential in the house!Highly reccomended. Bought for my fella for Christmas and he's over the moon with it"
Laura thawley,5,18 January 2021,Fantastic,Absolutely amazing my son loves this and has it on non stop
Keir Lamont,5,18 January 2021,Great all round speaker,"I have absolutely no hesitation in saying this is a great product that exceeded my expectations. It’s very loud, but has a good sound range so you’re not at risk of pushing it too far. Lightweight and easy to work, with a long battery life which I keep expecting to be depleted and just isn’t."
barry hibberd,5,17 January 2021,Impressive sound considering price and size.,"This was a gift so not sure about performance although the sound quality for what it cost, size etc was impressive.I was very happy with this purchase."
kayak,5,17 January 2021,bluetooth speaker,Yes I'm very pleased with item and the sound is very good would buy again
NAT,5,16 January 2021,Worth it for the Price,"Video Player is loading.Play VideoPlayMuteCurrent Time 0:00/Duration 0:00Loaded: 0%Stream Type LIVESeek to live, currently behind liveLIVERemaining Time -0:00 1xPlayback RateChaptersChaptersDescriptionsdescriptions off, selectedCaptionscaptions and subtitles off, selectedAudio TrackFullscreenThis is a modal window.    It's a very portable electronic device, comfortable, amazing battery life and perfect sound quality. I’ll have to recommend this product to my friends and family"
Russ Booth,5,16 January 2021,Great sound.,Great sound and small enough to fit in my pocket. I work on a building site and have music playing all day from my phone through the speaker. only downside being I have to put the phone to one ear and speaker to the other during a phone call.
david Taplin,4,15 January 2021,Value for money it is worth more,I bought this speaker for. My friend for Christmas. I only tested it but he loved it. He commented on the build quality the base response and. Overall quality and as a musician / singer he knows I can recommend this item for general use inside or outside.
Tatiana Chavouzi,5,15 January 2021,Absolutely brilliant,Very loud and clear sound. Easy to use. I definitely recommend it. You are going to love it! Easy to use.
Trevor Dunbar,5,15 January 2021,Great item,Awesome speaker very impressed
Jan,5,15 January 2021,Speaker,This is great and was a good price and I'm really happy with it as it's just what I wanted .
Lee,5,15 January 2021,Good for the price,"The media could not be loaded.                      This is,a perfect size speaker.  I got it for my brother to have on while  in the shop and he loves it.  Its small and discrete and is not too loud but not to quiet either.  Its very easy to connect to and the battery lasts ages between charges.  It has a nice sound out of it too.  Not bad for the price"
Hopes,5,13 January 2021,Bluetooth speaker,"Bluetooth speaker arrived on time, good quality build, sound quality is awesomeGood bass with clean crisp highs & midrange from such a compact lightweight device. Can go very loud, impressive and I love it."
andrew ellis,5,12 January 2021,Top speaker,Brilliant sound. Great value for money.
Moira,2,11 January 2021,Poor battery,I have had this on charge for 12 hours and it just keeps saying battery low. I am so disappointed even whilst charging it says battery low even though charging light is on.
Dp,5,11 January 2021,Packs a punch,"Bought this for a friend. I've heard it and the sound is brilliant, lots of volume and depth with it and my friend is absolutely delighted with the gift."
Marie O'Haire,5,9 January 2021,Easy to use,Love this speaker.  Can bring it anywhere
Chan,5,9 January 2021,A really good speaker.,Good sound quality and well worth the money. Keep kids happy with nursery songs etc.
Suriya R.,5,8 January 2021,Perfect,Great
martin thomas,5,8 January 2021,Great,Fab speaker
Amazon Customer,4,8 January 2021,Alot of sound for a small device,It appears to be good but have not used it very much. I think it will be great for summer bbqs.It looks good
Emma Swindail,5,7 January 2021,"Perfect, good sound and can use in the shower",Brought for my Son at Christmas to listen to music in the shower as he normally takes his mobile in!  Well impressed with the sound quality and how loud it goes.
smarsh,5,7 January 2021,Great wee speaker,Great wee speaker The sound quality is ace full battery lasts for ages and it’s plenty loud enough in my flat and the garden Comes into shower room but not in shower though wouldn't chance it  Great value for money
purple rose,5,6 January 2021,Works great,"Bought for son, loves it, does all it's meant to do. He is happy with sound battery life etc so all good"
Lucy,5,6 January 2021,Quality shower speaker,"I'm loving this speaker for my shower. Lot of volume for the space and, for the application, great sound quality. The little hook of string to hang it from my shower fixture was a small but important difference to stop me knocking it on the shower floor all the time as I've done with other speakers.Great product, solid Bluetooth range. Enjoyable sound and convenient fitting accessory (the little string hook!)."
peter b larsen,4,5 January 2021,Well worth the money,Brilliant value for money but have not got 25 hours of battery life
AnnM,5,5 January 2021,Great speaker,"Great speaker purchased as a Christmas present... Used daily only had to charge once so far, great sound quality and easy to connect to devices aux cable excellent quality.Purchased during a combo deal with another speaker, great bit of kit, husband delighted with it."
Robert,5,4 January 2021,Good value for money,"Bought it for my daughter for Christmas,  and she's loves it.Surprised how loud it goes ."
yus jan,5,3 January 2021,Loud. Good.,Very loud. Battery life is long and High sound quality.
becky kilburn,5,2 January 2021,Value for money,Good quality
linda sumner,5,30 December 2020,Excellent,My partner wanted this for when he is training in garden gym. Loves the sound quality and the fact it can be used if weather damp
andy hoyle,5,29 December 2020,Awesome,"Absolutely awesome little speaker for work, I valet motorcycles therefore I needed something that would be ok in a damp environment, I love it, nice deep sound with good base level for background music and radio"
ion,5,27 December 2020,Great LOUD speaker,"This is a great LOUD speaker, with clear sound and long battery life.Seriously, it's loud. You can hear it over a screaming power shower. Which is exactly why I bought it!"
Craig,5,27 December 2020,Great affordable speaker,"Brilliant speaker for the price. Very loud without compromising on quality, amazing battery life lasts around 2 weeks for what I need it for (in the shower). Would definitely recommend it for anyone who wants a speaker for casual use"
Geofro,4,27 December 2020,Good speaker,"Good speaker, good quality sound , only used on the mains so don’t know about battery use age.Overall  happy because this speaker is not breaking the bank."
Amazon Customer,5,26 December 2020,Fantastic gift for my music loving son,Bought this for my son for Christmas as he loves his music and singing in the shower. Great quality fantastic sound. He loves it thank you.
Different,5,24 December 2020,As described.,As described. It’s actually really decent.
julia,4,23 December 2020,Great sound quality for value,Sound quality pretty nice for its value. It's just the right size to carry with you and feels really nice.
Jon Keane,5,23 December 2020,Really good value,"I've got a more expensive speaker that has better sound quality, but i use this one in the bathroom and for the price it does the job absolutely fine. Great battery life."
Garry,5,22 December 2020,"Fantastic speaker, well worth the price","Wow! I did’t expect too much from a bluetooth speaker at this price. I was pleasantly proven wrong. Ive been using the speaker in the kitchen while cooking, and it has surpassed all my expectations. Ok, It’s not perfect, but for the price it can push out good bass, and treble isn’t lost either. Haven’t used base boost yet. Not needed in my opinion."
miss anna tepliakova,5,21 December 2020,Good quality,Very good speaker
Gillian Mooney,5,21 December 2020,great buy,brilliant speaker
Hannah crawley,5,20 December 2020,Just what I needed!,"Sound quality is good, could do with the volume going louder but hey thats me! Its perfect for in the bathroom or even out side!"
Amazon Customer,5,19 December 2020,Incredible sound quality,Amazing
Stephanie Gigli,5,18 December 2020,Great sound,Very impressed with sound for such a little speaker.. Very happy with product
Pamela Goodrich,5,15 December 2020,Super pleased with my Speaker,"Delivery was sooner than expected. The speaker was everything I was expecting and more!  I bought for use in my bedroom and to take on holiday. Please purchase, you won’t be disappointed especially for the price."
Gaz,5,15 December 2020,"Happy Customer, Great Speaker","Great purchase.. Very loud! Does everything it says in the description, didnt need the instructions it's very easy to use.. Handy for listening to music in the kitchen while cooking"
Brian morley,5,14 December 2020,Awesome!!,Awesome sound for the size!
Nick Wright,5,14 December 2020,Very good item definitely recommend for the price!,Very good item definitely recommend for the price!
Michael J Edgar,5,14 December 2020,very good,easy set up
David morgan,5,13 December 2020,Great sound quality,Great sound from such a compact speaker.
Michelle,5,13 December 2020,Delivered on time,Great soundItem exactly as describedDelivered on time
Richard Ransford,5,12 December 2020,Nice portable speaker,Nice solid speaker for the price. Plenty of sound for normal listening.
Leslie,5,12 December 2020,Happy,Sounds good well worth the money easy to pair to my phone
PFR,5,10 December 2020,Worth it,My partner bought this to use at work. He's happy with the sound and battery life.
Emran M,5,9 December 2020,Very good,"I love this, excellent sound quality, battery seems to last forever once charged. Can't recommend it enough to connect to smart phone,  laptop or tablet to add that extra touch of bass and loudness."
KCCleaver,5,7 December 2020,Ideal good quality compact speaker,"Bought this speaker to boost the volume for the music and media channels on my phone. It's just what I was looking for in a compact speaker,powerful with excellent sound quality,no distortion,choice of bass levels and also looks stylish. Well packaged and delivered on time and very easy to set up. I'm very pleased with all aspects of my purchase."
goosey,5,4 December 2020,Great speaker,"Easy to use, connects with most devices and the sound quality is great for such a little speaker.Only negative - the stylish black exterior makes it hard to see the markings on the buttons."
Adriana Faria,5,2 December 2020,Good sound,Amazing little thing
Abison Mathew Jose,5,1 December 2020,Like it. Fair sound,"The speaker perform very good for me. I have not tested the water proof claim. Sound is really good and use more watching Netflix movies on laptop and music from mobile. One thing I noticed the audio some time realy awesome when we chose perfect audio profile in computer, e.g. dolby enable. Battery backup is good did not count the exact hours. In answer phone mode, the sound is not good."
Amazon Customer,5,1 December 2020,A great little speaker,"This speaker is small but perfectly formed and gives excellent sound. It’s easy to use and very light to carry.  Also, it’s great value for money. I cannot speak highly enough of it."
FrogSpawn,4,30 November 2020,Good Quality Good Sound,Good Quality Good Sound
Margo smith,5,29 November 2020,Excellent speaker. Looks great and sounds great,Love that its waterproof
kev,5,29 November 2020,Value for money,Have not had time to check battery life yet
nam hoang,5,27 November 2020,Great value and packs a punch for a little thing 💥,Sound quality for this little thing is👌Bargain price For just £20 😃
Amazon Customer,5,27 November 2020,Good sound,The sound of this is good and goes loud enough to keep a group of children happy even with their singing along.
susanne,5,26 November 2020,Great value for money,Bought for my daughter she lives it ...and its very loud!
Zeppland,5,25 November 2020,Excellent Quality,The speaker has a very good sound quality and volume.  It's overall appearance and functionality is first rate.
Keith Colgrave,5,24 November 2020,👌🏼👌🏼,👌🏼
steve,4,23 November 2020,Quality of Sound,"I use this both as a speaker for my PC and also as a remote speaker when eating outside. Sound Quality is great. Only problem is that the promised 100 feet connection is not achieved - more like 30 feet. But as I usually connect to my mobile when eating outside, this isn't a problem.It readily paired straight out of the box.the USB charging cable is a bit short for my liking at 700mm."
Amazon Customer,4,23 November 2020,Good sound quality and looks great,I like all the features.  The only problem I have with it is  if the control buttons had been a contrasting colour it would be easier to see them more clearly.
kevin m,4,23 November 2020,Good product,For the size this is very good sound and loudFor the price good little speaker
Kelly111,5,22 November 2020,I'm impressed,All great
kelsey,5,21 November 2020,value for money,"an excellent speaker, excellent sound quality, very loud. bass mode is top quality.would reccomend this item"
P. Rosser,5,21 November 2020,Great portable speaker,Bought this speaker to use with an Alexa Echo Flex and works well.  Setup was really easy and the sound quality is great.
Lisa,5,15 November 2020,Perfect speaker for on the go. Or at home. Sound is great,Great little buy. Powerful for the size. Will be buying another as gifts soon!
carpetman,5,15 November 2020,Great speaker poor seller contact .,The product was a brilliant sound . But a bit tricky to connect to alexa . Contacted the seller and got no reply.  Luck for me amazon alexa sent full instructions in an email and it connected in seconds but if I had to wait for the seller I would still be waiting so thanks amazon
Andreea,5,14 November 2020,Quality sound is amazing,Amazing value and the sound is as I expected.
AmazonCustomer,5,13 November 2020,Base is on point! Perfect sound and battery quality,"Great sound quality! Took this to Sardinia, Italy and lasted over 7 days without the need to recharge. Used at the beach too! Definitely waterproof to an extent. Base is on point."
Lee Griggs,1,12 November 2020,Quiet,Don’t know why it has loud in the title.. anything but..
samlee,5,12 November 2020,Not bad,Cheap and good
Dave from Fife,5,10 November 2020,A Sound product,It definitely delivers everything I expected
BEarle,1,9 November 2020,Not loud,Sound is clear but honestly my phone is probably as loud so it's fairly pointless speaker.
webbo,5,9 November 2020,great little unit,Arrived on time works perfect on my windows 7 laptop would recommend
Keith Carpenter,5,9 November 2020,Easy to use,Easy to set up sounds great
Tom Q,5,8 November 2020,Good buy,After a little faff I finally got it working with alexa echo and its perfect.
PHILIP H.,5,8 November 2020,Great.,"Does what it says on the box. Set up in seconds, easy."
Lily Oak,5,7 November 2020,Very pleased.,"Bought this hoping it would ""do the job"" of playing music for exercise classes until I could afford somthing bigger. Got to say I'm very impressed be volume, sound quality, and battery life.Pairing it with my phone took seconds and it's increadibly easy to use."
Paa,1,5 November 2020,Had for less than six months and it wont charge! Disgustin,Brilliant
Scarface,4,5 November 2020,x,x
T,5,4 November 2020,Works great,Great sound great battery life no complaints
Amazon Customer,5,3 November 2020,Excellent product compact durable,Excellent
Rob in Shropshire,5,1 November 2020,Good companion for Alexa.,"Wanted a low cost / good value Bluetooth speaker for my shower room and having read the reviews this one appeared to score well across the board. I’m pleased to say, I’m not disappointed. The speaker was well packaged and Out of the box is a neat and tidy, compact design. There’s large clear buttons on the top providing easy operation and at the back a rubber waterproof cover for the recharging / aux ports. It paired very easily with echo dot via the Alexa app on iPhone and will both reconnect and disconnect simply by voice instruction to Alexa on the dot. Sound quality, in my opinion, is very good indeed for a small inexpensive speaker - it’s crisp and full. I’m not 100% convinced about the bass boost mode however, it seems to mute the top end rather than add at the bottom. For me, volume could be a little higher but it’s adequate. That said it delivers decent overall sound quality for my needs (music while I shower). It fits neatly on top of the bathroom mirror (see photos) and I have used it on the shelf in the shower itself with no problems, so its waterproof rating appears accurate. Charging usb lead is included - full charge is achieved in approx 45 mins and lasts 7/8 days the way I use it (while showering). Overall -very pleased."
Samuel O,1,1 November 2020,It cuts off....,I’ve just got this speaker yesterday (31st October) and now when I play my music the speaker randomly cuts off. It hasn’t been 24 hours yet and now it’s faulty. I do not recommend.
Amazon Customer,4,29 October 2020,Great little speaker and really quite powerful,Played through laptop which was really good and great sound. Only downside is I can't get it to connect to mobile.
Andrew B,5,29 October 2020,Good value and long battery life.,"Good value speaker with a long battery life. It means I can use the speaker with my phone to get streamed music and internet radio stations when I drive my old car with it’s outdated sound system. It also allows hands free phone use when driving. Remember to read the instruction leaflet - the buttons are a little confusing - to increase the volume, just press the + button briefly; if you hold the + button down, it doesn’t alter the volume but moves onto the next track."
RT,5,29 October 2020,Good Value Bluetooth Speaker,Bought for use with Tablet. Was easy to pair and is working well
Amazon Customer,5,28 October 2020,Happy with the purchase,"I got this speaker for my daughter and she is very happy about the product, good battery life and good noise level. Thanks"
Caroline M,5,25 October 2020,Great sound,Works great with Alexa
Ken Baker,5,25 October 2020,True to the add,"Can't fault it ,bought it for the garden and BBQs ,yes it dose what it says on the box excellent"
S P O`Callaghan,4,22 October 2020,"Nearly perfect, but more than good enough","For less than £20 I wanted something to listen to in the shower. Looked around and this seemed a bargain, esp, with discount on offer!Works very easily and packs a punch, so much so, I need to find a level not to scare neighbours.My only grumble is that whilst there is a 'bass' boost, there is nothing for 'treble', which seems to be the case on all products like this. Don't discriminate against treble!Anyway, great product and sound, nothing more to say"
karen,5,22 October 2020,Lovely sound,"Brilliant, but can never use it as my daughter always has it lol"
Shannan,5,18 October 2020,Perfect travel speaker.,Definitely worth the money.
G,5,18 October 2020,Compact But Power Packed,Sound quality very good.  Excellent value for money.
Michelle Cottrell,5,17 October 2020,Does exactly what it says,Excellent when out in the garden.
Greg,5,15 October 2020,"Frequency range: 120- 20.000 Hz, Can play while charging","Pros:+Very loud for a small party, u dont need it on full volume if u wanna have a conversation. Perhaps 50% is too much as well.+Huge battery life. Havent tested it on full volume and full battery to see how long it will last, but if ur alone, the claimed 20hrs are possible.+Nice bass (i listen to rap songs), although the box say its range starts from 120 Hz and not 20 Hz, that the human ear can hear. This should be on the product description here on Amazon.+Bass mode doesnt do this much for more bass, but normal mode is awesome as well, its bass is clearly heard and felt.+Charger, aux to aux and little rope on the side of the speaker are included.+Doesnt lose quality on full volume plus +15dB from the preamp on the phone app.-Negative:-Mentioned it before too: sound range starts from 120 Hz, and it should be stated on the product''s page here on Amazon.---> Verdict:Its probably the best, clearest and most powerful at the same time speaker for 25 english pounds or 30 Euros."
Dan,5,15 October 2020,Great purchase,"Bought as a present for my Niece and she absolutely loves it, the sound is great and battery life is long"
Richie,5,14 October 2020,Loud & clear speaker,Great little speaker with great sound
Amazon Customer,5,11 October 2020,great,Long lasting battery life be for charging noise level good
Jed,5,11 October 2020,Quality Sounding Speaker,"I was pleasantly surprised with the sound that came out of this small speaker.  The bass and treble are crisp and clear even at full vol.  Being wireless, it is totally portable so you can play music on the go when ever you like.  Battery life is great. It was on 90% when I took it out of the box.  I've used it for a few hours over a few days and it's still on 90%.  Easy to charge using the supplied USB cable.  This can also be connected to devices using the AUX cable that is also in the box.This is a well built and sturdy speaker which does not disappoint!!"
Tom Williams,5,8 October 2020,Excellent,"I use these for providing music to dance tango outdoors. The volume is more than adequate and the quality is fine. I have started using them indoors because, although I have an proper sound system, setting it up takes a few minutes and these speakers are perfectly good enough and ultra convenient to set up.We've danced to them for hours and not seen the battery level drop below 90%."
Ahmed A.,5,8 October 2020,Amazing value for a decent speaker,"For the budget range, Anker was the king of all speaker but, they have been increasing their price slowly so I was looking into a different brand.I came across this beast while researching on youtube and I have to say, I am so glad I purchased this. The sound quality is better than average for the small amount you pay.  I mainly use it when I am watching movies, youtube or listening to some podcasts. It has performed very well in all those cases. The connectivity is perfect due to bluetooth 5.0 and the bass is also very good.Battery seems to last ages so that's also great. It even supports micro sd playback which I will probably never use but its a nice feature to have.The design is very minimal and simple which is rare these days. Also it is water resistant which is assuring but I do not plan on testing it anytime soon!Only thing to me mindful of is that at full volume, the high tones are  distorted somewhat but I already expected that as even Anker speakers have the same problem.If you are looking for very solid speaker for a small budget, this is a must buy."
S 9 C,5,7 October 2020,Bluetooth Speaker,"The speaker is easy enough to pair via Bluetooth with my iphone. Sound quality out of it is decent and I mainly use spotify as my main music player. This is IPX7 rated so even if it gets wet, it will continue to work just fine. There are buttons on the top of it where you can control functions such as volume, play/pause and, on/off. Battery life has been great off it too and I haven’t needed to charge it so far from my use. (should last upto 20 hours*)"
Mr. Glenn Harris,3,7 October 2020,"Not the bargain you hope, but okay.","Poor battery life (in some instances, less than 3 hours), subpar build quality (the charger cable feels like it's barely in) and it's really fussy with what charger it can take power from.Buy cheap, buy twice.On the plus side, the external costing is pretty robust as it hadn't shown any real marks. Sound quality isn't bad but there are much better alternatives out there. Good for a speaker you can throw in your bag without caring about it too much."
David Jones,5,4 October 2020,Great,The style is cool sounds great
William,5,4 October 2020,Really good sound,Really good i just love it.
skipper,5,4 October 2020,speaker,great speaker
Susan O'Hare,5,2 October 2020,Great value for money.,Great for the price.
The Rev,5,2 October 2020,Solid. Really good sound for size. Good value!,It is exactly what I was looking for.  A good bluetooth speaker at a good price.  I needed a speaker to take out to the shed when I work.  This one will fill a good size with sound.  Easy to connect.  Nice that you can put music on a micro SD card as well.  Can't go wrong.
Adam Rogers,5,30 September 2020,Great,Great sound and for the money
Maddy Cooling,5,27 September 2020,Great quality,"Would definitely recommend it’s really loud, works perfect, quality’s great and you can actually tell a difference when bass mode is on"
Sami,3,27 September 2020,It's ok,Not the best sound quality.I don't like the loud on and off sound it makes. It's also picking mobile phone interference.
Iva,5,27 September 2020,"I love this thing, so worth the money!","Super impressed with the quality given the price, this little gadget is my best friend now, especially when it’s my turn to clean the house, i stick a 90’s dance tunes compilation and terrorise the neighbours to my heart’s content, took it to the beach, watch my tv shows on it, it’s great, absolutely recommend!"
Keith Plumb,4,26 September 2020,Good for the price.,"Purchased as a replacement for a boom bar, no where near the volume or sound quality but at the price it is excellent value."
Kit87,5,26 September 2020,Bought for the bathroom,"Bought this to use in our bathroom after dropping my Anker speaker in the bath! And it’s a lot better than I expected! Sound is good, battery hasn’t run out yet from initial charge on day one. So seems good value so far."
angie,5,26 September 2020,Sturdy little speaker with decent volume output.,"Lovely little speaker 2nd time around. 1st one had disturbing interference noise always in the background. Customer service was fantastic though and sent a new one straight out and it works perfectly. It’s not a boom box but the sound is ample enough for listening outside and indoors. The Bluetooth connection works every time and on different devices. For the price, quality and excellent after sales care I’m so pleased I chose this one and would recommend. Can’t thank customer service enough for all of their help :-)"
Daren Munro,4,25 September 2020,Good sound,"Good sound, easy to set up. Worth the money!"
g j hunt,4,25 September 2020,Good value,Nothing to dislike
Mordew Sr,5,25 September 2020,Good Sound,"The media could not be loaded.                      This speaker has amazing sound quality for the price, bought this for our lad as he wanted a speaker to connect to other things, and at the price I was very surprised with what it can do and the sound quality it keeps even at high volume."
Alex E,5,24 September 2020,"Ok for the reduced price,if your not fussy.","It's ok for the reduced price but 25 odd is too much, considering what you can get for an extra tenner.Mine arrived today,as pictured but I think the reviews over rate it a bit too much,lol.It sounds clear not very loud,as it's only 14w,7w a speaker,not much better than my 6 year old one,I bought from Amazon,still going strong.Just wanted an upgrade from my old Audio Dynamic cc speaker but it's old with micro usb,tf card,aux,etc.Didnt realise this new modern speaker was also micro usb and NOT TYPE C like most, that was a deal breaker and the loudness compared to my old unit which cost 35 back then.So I have opted for the Tronsmart Force 20 X 20 w type c for 35 at reduced price,as I own 3 Tronsmart products all great and customer service satisfaction.Can't comment on battery,as not owned it long enough.Bass boost did seem to add a bit more bass,then you seem to lose clarity and loudness drops.My honest opinion."
Adeel J.,5,22 September 2020,Good buy,Daughter very happy with this speaker
Timothy Storrs,5,20 September 2020,Perfect for my needs at a good price,Everything I expected and at a good price
Mark Cornell,5,17 September 2020,Utterly Amazing!,This arrived literally 5 mins ago and I’m already feeling compelled to write a review. Sound quality is great for something this size  and this thing is insanely loud for something so small with no distortion. It’s a really good solid build quality and looks like it will stand up to plenty of knocks. Water sealing looks good too. Perfect for my shower!
westhill_boy,5,17 September 2020,Great sound for a small Bluetooth speaker,"Great size, good sound quality, easy to connect and battery life seems fine. Thoroughly pleased with this buy and so would heartily recommend!"
Tom Blower,4,16 September 2020,Great value,Great compact speaker perfect for taking around with you.
g carey,5,15 September 2020,Bang for buck,Great value for money and robust build quality.....
Nish,5,14 September 2020,Great value speaker,"Very happy with this speaker. Very good alternative to JBL or Bose speaker being extremely clear in audio quality and an amazing battery life of 20 hours. It’s very easily portable and light so can be taken wherever, for me that’s hiking or by the pool on holiday. Another impressive feature is the IPX7 rating ensuring it is waterproof enough not too be damaged, unlike many other speakers I have come by. I also find that the matte black finish is very stylish. For this price I would highly recommend it as a buy and confidently do it is worth the value."
